dataset,query_size,query_mode,query_index,enumerate_time,n_embeddings,n_intersections
orkut,8,sparse,29,18.0115s,159277509,11108909
orkut,8,sparse,30,243.028s,6936870135,749062
orkut,8,sparse,31,7.3405s,176310970,2322472
orkut,8,sparse,32,9.90162s,184990017,7902276
orkut,8,sparse,33,34.3347s,31596444,41738296
orkut,8,sparse,34,9.6432s,417744825,2439230
orkut,8,sparse,35,139.04s,2169441,287787449
orkut,8,sparse,36,6.86813s,4689733,6228387
orkut,8,sparse,37,213.689s,12514511,353389141
orkut,8,sparse,38,6.91953s,85193202,7301589
orkut,8,sparse,39,8.0904s,231061233,2429138
orkut,8,sparse,40,7.76577s,152094953,2359239
orkut,8,sparse,41,8.57279s,37304323,7600831
orkut,8,sparse,42,10.7841s,52987143,12555553
orkut,8,sparse,43,32.2912s,18661953,34389112
orkut,8,sparse,44,18.1466s,303782321,2440324
orkut,8,sparse,45,9.26919s,358218952,1214891
orkut,8,sparse,46,32.6004s,60490894,21960816
orkut,8,sparse,47,9.57328s,81804683,7821850
orkut,8,sparse,48,588.086s,20609844401,756801
orkut,8,sparse,49,8.3033s,95526817,6841153
orkut,8,sparse,50,28.7872s,1133493399,5882864
orkut,8,sparse,51,6.8401s,84301806,2366534
orkut,8,sparse,52,19.0216s,1417027903,2451434
orkut,8,sparse,53,13.7362s,9160327,17975683
orkut,8,sparse,54,32.5291s,3746747,19653077
orkut,8,sparse,55,40.7651s,167478013,9293373
orkut,8,sparse,56,8.37348s,15869848,9116454
orkut,8,sparse,57,9.182s,52061678,8645380
orkut,8,sparse,58,42.022s,129528378,38167092
orkut,8,sparse,59,45.4217s,110852721,135701600
orkut,8,sparse,60,7.56975s,73035248,7011330
orkut,8,sparse,61,
orkut,8,sparse,62,31.821s,6689138,20288293
orkut,8,sparse,63,6.90731s,64843996,2318362
orkut,8,sparse,64,10.5182s,99466641,11854987
orkut,8,sparse,65,60.6664s,3923620406,14643268
orkut,8,sparse,66,147.973s,2267258441,742295
orkut,8,sparse,67,42.0658s,344039194,55242120
orkut,8,sparse,68,74.2599s,273966630,87744300
orkut,8,sparse,69,325.509s,31456870,1648130628
orkut,8,sparse,70,40.3474s,893084,130710607
orkut,8,sparse,71,7.04652s,23907520,8116814
orkut,8,sparse,72,51.4834s,18048580,121210187
