dataset,query_size,query_mode,query_index,enumerate_time,n_embeddings,n_intersections
orkut,6,dense,1,3.255s,776877,7915690
orkut,6,dense,2,7.53001s,321799,10842395
orkut,6,dense,3,3.07108s,752586,1153976
orkut,6,dense,4,1.65988s,779445,674584
orkut,6,dense,5,3.06991s,272044,1105414
orkut,6,dense,6,1.65851s,1376539,662148
orkut,6,dense,7,3.19704s,47092,4203813
orkut,6,dense,8,1.68063s,100952,706302
orkut,6,dense,9,1.69205s,951732,660352
orkut,6,dense,10,6.28654s,222708,2237835
orkut,6,dense,11,1.78928s,5079559,678244
orkut,6,dense,12,1.65785s,408981,663128
orkut,6,dense,13,6.36584s,92689,2289462
orkut,6,dense,14,0.872229s,612263,338709
orkut,6,dense,15,6.25061s,712096,2371620
orkut,6,dense,16,6.38141s,384065,5327844
orkut,6,dense,17,1.70851s,317299,737249
orkut,6,dense,18,1.75981s,304722,678552
orkut,6,dense,19,1.67926s,560073,656966
orkut,6,dense,20,1.68274s,838081,678150
orkut,6,dense,21,1.71092s,1807256,680892
orkut,6,dense,22,1.98474s,210848,7857800
orkut,6,dense,23,6.27628s,1100426,2281142
orkut,6,dense,24,3.04304s,518059,7138100
orkut,6,dense,25,6.41652s,323014,7213116
orkut,6,dense,26,1.67851s,1199218,699168
orkut,6,dense,27,1.66794s,616464,676496
orkut,6,dense,28,1.66528s,1991970,551302
orkut,6,dense,29,6.61154s,2721229,2262202
orkut,6,dense,30,6.19656s,130343,3736651
orkut,6,dense,31,1.68684s,771342,661628
orkut,6,dense,32,1.67101s,804807,679234
orkut,6,dense,33,1.67207s,614043,706128
orkut,6,dense,34,1.78363s,568908,668672
orkut,6,dense,35,6.35563s,27311,10078022
orkut,6,dense,36,1.75676s,6313314,691914
orkut,6,dense,37,2.31795s,283226,7541115
orkut,6,dense,38,1.74423s,1261052,663704
orkut,6,dense,39,6.19733s,833378,2329112
orkut,6,dense,40,6.43025s,36536,2345178
orkut,6,dense,41,6.41677s,1469159,2324908
orkut,6,dense,42,1.69704s,1897752,672656
orkut,6,dense,43,6.28135s,1813330,2346464
orkut,6,dense,44,6.66287s,148731,6694084
orkut,6,dense,45,6.25002s,121183,7841263
orkut,6,dense,46,1.67469s,643188,688546
orkut,6,dense,47,1.74046s,132718,737667
orkut,6,dense,48,2.01036s,234880,6074895
orkut,6,dense,49,6.89403s,164544,12573652
orkut,6,dense,50,6.70448s,338734,9329520
orkut,6,dense,51,2.0904s,264620,8617435
orkut,6,dense,52,2.09701s,315924,5252025
orkut,6,dense,53,1.71332s,890918,683910
orkut,6,dense,54,1.7127s,2599875,688566
orkut,6,dense,55,6.17889s,70966,2279775
orkut,6,dense,56,6.35444s,78253,2411888
orkut,6,dense,57,6.25989s,586527,2253348
orkut,6,dense,58,1.67295s,1266292,696462
orkut,6,dense,59,1.69415s,6490732,698096
orkut,6,dense,60,1.69874s,1820168,685058
orkut,6,dense,61,1.71071s,953680,677124
orkut,6,dense,62,1.70077s,271860,675490
orkut,6,dense,63,3.35179s,18875,4347265
orkut,6,dense,64,1.67713s,1904494,686526
orkut,6,dense,65,5.62523s,1734898,10944475
orkut,6,dense,66,1.67178s,950027,668854
orkut,6,dense,67,6.56858s,192516,6141012
orkut,6,dense,68,6.4214s,73999,2328318
orkut,6,dense,69,6.14856s,120167,2317800
orkut,6,dense,70,1.68109s,1216234,671146
orkut,6,dense,71,1.6893s,1920948,667998
orkut,6,dense,72,6.55025s,221074,4650753
orkut,6,dense,73,1.65736s,1281793,677114
orkut,6,dense,74,1.68834s,1227692,679286
orkut,6,dense,75,1.6858s,3239099,683934
orkut,6,dense,76,6.57085s,788528,2296122
orkut,6,dense,77,6.71404s,91175,8073152
orkut,6,dense,78,6.48596s,78034,2267400
orkut,6,dense,79,1.77875s,2173122,674978
orkut,6,dense,80,1.79575s,912381,668892
orkut,6,dense,81,6.18474s,172871,4653132
orkut,6,dense,82,6.23311s,690437,2282442
orkut,6,dense,83,1.71027s,1136326,671846
orkut,6,dense,84,6.53622s,311903,2311074
orkut,6,dense,85,6.59071s,566491,2264416
orkut,6,dense,86,6.61221s,250864,2308656
orkut,6,dense,87,1.66704s,534660,670464
orkut,6,dense,88,6.27811s,255294,7257840
orkut,6,dense,89,7.46779s,338891,18476091
orkut,6,dense,90,6.59286s,58322,10100782
orkut,6,dense,91,1.7067s,1231158,663262
orkut,6,dense,92,1.77571s,4231904,656414
orkut,6,dense,93,1.67706s,1887415,664674
orkut,6,dense,94,6.30056s,99381,7582306
orkut,6,dense,95,1.7455s,3008669,677586
orkut,6,dense,96,6.32936s,345535,5898129
orkut,6,dense,97,6.43678s,409807,2274878
orkut,6,dense,98,6.33679s,210068,6327471
orkut,6,dense,99,1.7217s,1106054,660600
orkut,6,dense,100,2.22369s,627059,5875665
orkut,6,sparse,1,6.68699s,582376,12835529
orkut,6,sparse,2,2.09068s,587241,4508792
orkut,6,sparse,3,7.53071s,1533843,10292106
orkut,6,sparse,4,0.602586s,1460182,586048
orkut,6,sparse,5,6.56151s,612314,7710888
orkut,6,sparse,6,1.67793s,1951021,602206
orkut,6,sparse,7,4.58305s,2803080,9193448
orkut,6,sparse,8,6.23834s,863949,4928224
orkut,6,sparse,9,2.03188s,576475,4097588
orkut,6,sparse,10,2.19068s,1139267,4508668
orkut,6,sparse,11,2.29129s,1543523,5145176
orkut,6,sparse,12,1.70445s,1050607,602102
orkut,6,sparse,13,2.48511s,59274953,641036
orkut,6,sparse,14,7.24046s,632783,8831949
orkut,6,sparse,15,6.25174s,768705,4685101
orkut,6,sparse,16,6.28134s,631364,7225756
orkut,6,sparse,17,6.69598s,924751,7975029
orkut,6,sparse,18,2.3812s,1983183,5254700
orkut,6,sparse,19,2.33378s,1851699,5728096
orkut,6,sparse,20,2.05063s,643098,4792660
orkut,6,sparse,21,1.66742s,2934402,577560
orkut,6,sparse,22,1.72596s,669782,604903
orkut,6,sparse,23,0.591502s,5558802,584652
orkut,6,sparse,24,2.29961s,1793391,4911640
orkut,6,sparse,25,1.48891s,20797260,583632
orkut,6,sparse,26,1.6383s,491471,621454
orkut,6,sparse,27,2.01028s,1005814,6006592
orkut,6,sparse,28,1.7941s,3699419,614788
orkut,6,sparse,29,3.65939s,4760751,6747236
orkut,6,sparse,30,6.44945s,701485,2119113
orkut,6,sparse,31,1.69717s,1028369,599943
orkut,6,sparse,32,3.13624s,2060598,6795716
orkut,6,sparse,33,6.12928s,569383,2119784
orkut,6,sparse,34,2.62233s,1877512,6727400
orkut,6,sparse,35,2.32944s,3962058,4735788
orkut,6,sparse,36,2.73018s,1379173,5666856
orkut,6,sparse,37,6.57189s,2052043,10712105
orkut,6,sparse,38,6.46044s,1989519,9807053
orkut,6,sparse,39,2.47465s,789209,6109820
orkut,6,sparse,40,2.15046s,1490759,4532196
orkut,6,sparse,41,6.69753s,1428016,4871768
orkut,6,sparse,42,2.03454s,480948,4038280
orkut,6,sparse,43,1.66657s,1069575,609754
orkut,6,sparse,44,2.45308s,1842417,4815804
orkut,6,sparse,45,1.76809s,7375057,625952
orkut,6,sparse,46,1.69161s,4062877,619814
orkut,6,sparse,47,6.13028s,923950,2155971
orkut,6,sparse,48,2.83155s,2696040,6432544
orkut,6,sparse,49,6.454s,889452,2177225
orkut,6,sparse,50,6.37745s,642417,10825503
orkut,6,sparse,51,1.70825s,9813803,621226
orkut,6,sparse,52,6.56098s,1793472,9911859
orkut,6,sparse,53,1.71109s,6201947,616177
orkut,6,sparse,54,1.6832s,2607602,604216
orkut,6,sparse,55,2.42398s,1543980,5395324
orkut,6,sparse,56,6.3747s,1864045,7210512
orkut,6,sparse,57,3.17302s,521597,1066659
orkut,6,sparse,58,2.41602s,935170,5121696
orkut,6,sparse,59,0.855505s,1398981,384969
orkut,6,sparse,60,1.72145s,8537783,616828
orkut,6,sparse,61,2.2627s,994399,4595868
orkut,6,sparse,62,6.7654s,362071,8267586
orkut,6,sparse,63,2.15468s,867449,4793608
orkut,6,sparse,64,1.73706s,10090733,626790
orkut,6,sparse,65,7.13147s,622039,7723545
orkut,6,sparse,66,3.0133s,145797649,492739
orkut,6,sparse,67,7.37605s,830318,7829046
orkut,6,sparse,68,1.05321s,15968036,587360
orkut,6,sparse,69,6.46778s,496520,7049337
orkut,6,sparse,70,0.911803s,8637727,394123
orkut,6,sparse,71,6.49518s,612956,7100804
orkut,6,sparse,72,2.48818s,620057,5553848
orkut,6,sparse,73,3.69918s,2034743,7366540
orkut,6,sparse,74,6.38524s,759241,9491932
orkut,6,sparse,75,7.12083s,591651,9697233
orkut,6,sparse,76,1.71749s,7501808,626799
orkut,6,sparse,77,4.41024s,1846505,8241928
orkut,6,sparse,78,2.20979s,1909854,4730548
orkut,6,sparse,79,1.69403s,2852824,612188
orkut,6,sparse,80,1.67145s,1031300,620450
orkut,6,sparse,81,5.50648s,1835023,9082708
orkut,6,sparse,82,2.75938s,409656,6773156
orkut,6,sparse,83,1.67914s,550212,609452
orkut,6,sparse,84,6.6137s,1629151,7530909
orkut,6,sparse,85,1.86905s,1637532,6023264
orkut,6,sparse,86,1.71017s,5472867,622121
orkut,6,sparse,87,1.71791s,4472529,609192
orkut,6,sparse,88,4.20035s,2648297,9037148
orkut,6,sparse,89,1.71343s,1883826,615217
orkut,6,sparse,90,7.14316s,1566416,10097052
orkut,6,sparse,91,1.54557s,2727445,4500208
orkut,6,sparse,92,0.940417s,7032660,406189
orkut,6,sparse,93,6.42438s,811153,11651638
orkut,6,sparse,94,6.99351s,584504,9774228
orkut,6,sparse,95,6.91529s,470368,7678866
orkut,6,sparse,96,6.93949s,1566455,7882773
orkut,6,sparse,97,0.590759s,5647647,588948
orkut,6,sparse,98,1.78334s,2179935,610014
orkut,6,sparse,99,1.7566s,2657560,622935
orkut,6,sparse,100,6.84313s,1028036,6323637
