dataset,query_size,query_mode,query_index,enumerate_time,n_embeddings,n_intersections
youtube2007,6,sparse,3,3.50424s,2117502327,73825756
youtube2007,6,sparse,4,5.41998s,50897,8906076
youtube2007,6,sparse,5,0.766432s,13599912,8355831
youtube2007,6,sparse,6,5.6308s,11731196,24641259
youtube2007,6,sparse,7,110.757s,166056301569,1363557486
youtube2007,6,sparse,8,15.5252s,1657750399,297458004
youtube2007,6,sparse,9,5.27102s,155203,7680920
youtube2007,6,sparse,10,158.958s,350244584640,590438296
youtube2007,6,sparse,11,1.00802s,508254174,8330019
youtube2007,6,sparse,12,157.284s,350244584640,590438296
youtube2007,6,sparse,13,1.48371s,281737,1474084
youtube2007,6,sparse,14,6.90893s,427047676,94731283
youtube2007,6,sparse,15,2.55802s,56300128,6873580
youtube2007,6,sparse,16,2.66484s,3819242,5069606
youtube2007,6,sparse,17,5.10048s,536,664601
youtube2007,6,sparse,18,5.291s,929791,9498570
youtube2007,6,sparse,19,155.619s,350244584640,590438296
youtube2007,6,sparse,20,1.34002s,18453679,2190904
youtube2007,6,sparse,21,69.9469s,93582224968,806134415
youtube2007,6,sparse,22,33.707s,39741236251,374332010
youtube2007,6,sparse,23,5.71342s,1247742954,73825756
youtube2007,6,sparse,24,4.94406s,256566547,275595
youtube2007,6,sparse,25,7.87873s,1157317055,221414361
youtube2007,6,sparse,26,157.483s,350244584640,590438296
youtube2007,6,sparse,27,2.07632s,10490348,39767756
youtube2007,6,sparse,28,0.279467s,3813503211,1821220
youtube2007,6,sparse,29,21.4212s,22763549441,254114492
youtube2007,6,sparse,30,1.75601s,892482,22338063
youtube2007,6,sparse,31,1.38313s,48500419,3203665
youtube2007,6,sparse,32,0.676071s,4419925,888664
youtube2007,6,sparse,33,0.700439s,11713,2281659
youtube2007,6,sparse,34,0.810089s,3376040,1816557
youtube2007,6,sparse,35,0.772328s,21635496,8588640
youtube2007,6,sparse,36,0.243778s,1242041604,784717
youtube2007,6,sparse,37,18.0544s,83677040,461977628
youtube2007,6,sparse,38,28.3095s,41180606472,224084216
youtube2007,6,sparse,39,3.6032s,3271979,49886889
youtube2007,6,sparse,40,0.674835s,567650,543407
youtube2007,6,sparse,41,0.460893s,560827,11485793
youtube2007,6,sparse,42,65.5789s,8528191705,2087020
youtube2007,6,sparse,43,8.47445s,682240097,135535705
youtube2007,6,sparse,44,2.84233s,3961859,13647727
youtube2007,6,sparse,45,22.3231s,1020646596,590438296
youtube2007,6,sparse,46,11.5812s,11721547650,181392806
youtube2007,6,sparse,47,46.0185s,46406447,1549720626
youtube2007,6,sparse,48,26.4416s,44283734755,126485976
youtube2007,6,sparse,49,5.67783s,322162,22073362
youtube2007,6,sparse,50,2.49452s,452061,85425464
youtube2007,6,sparse,51,3.88454s,2793896881,43448242
youtube2007,6,sparse,52,0.45456s,111891984,1543998
youtube2007,6,sparse,53,17.8022s,25379764460,143134180
youtube2007,6,sparse,54,27.3985s,832514319,252971952
youtube2007,6,sparse,55,33.6284s,68098081378,221414361
youtube2007,6,sparse,56,1.34137s,77408,812580
youtube2007,6,sparse,57,22.6595s,22763549441,315652094
youtube2007,6,sparse,58,79.035s,179752339192,295219148
youtube2007,6,sparse,59,32.4381s,48283702145,286268360
youtube2007,6,sparse,60,27.3371s,6683468,883052552
youtube2007,6,sparse,61,18.2503s,4400062424,590438296
youtube2007,6,sparse,62,66.0758s,93582224968,629564162
youtube2007,6,sparse,63,2.62705s,23464206,64460254
youtube2007,6,sparse,64,28.3189s,41180606472,224084216
youtube2007,6,sparse,65,1.34889s,3540,147772
youtube2007,6,sparse,66,0.459001s,7853355,427070
youtube2007,6,sparse,67,29.5375s,16163461948,681493762
youtube2007,6,sparse,68,32.9456s,39741236251,346683892
youtube2007,6,sparse,69,5.91719s,2309722,42088327
