dataset,query_size,query_mode,query_index,nlf_time,order,load_time,filter_time,build_table_time,plan_time,enumerate_time,n_embeddings,n_intersections
youtube2007,8,dense,1,2.8237,2 4 5 6 1 0 3 7 
youtube2007,8,dense,2,2.7492,7 2 4 0 1 3 6 5 
youtube2007,8,dense,3,2.6270,6 1 3 4 5 7 2 0 
youtube2007,8,dense,4,2.4309,6 4 1 3 5 2 7 0 ,12.4265,0.6939,0.2922,0.0006,146.6050,1810971876,645007679
youtube2007,8,dense,5,2.6320,4 5 6 7 2 3 0 1 ,12.8815,0.1360,0.1127,0.0000,0.0034,37928,15879
youtube2007,8,dense,6,2.4609,3 4 5 7 2 0 1 6 ,12.6660,2.2965,0.8143,0.0078,138.2046,8313609576,694653037
youtube2007,8,dense,7,2.9693,1 0 4 5 6 7 3 2 
youtube2007,8,dense,8,2.3439,0 1 5 6 2 3 4 7 
youtube2007,8,dense,9,2.6333,0 4 5 3 7 2 6 1 ,11.6140,0.0843,0.1128,0.0001,0.1982,10779078,810331
youtube2007,8,dense,10,2.2829,4 6 3 5 2 1 0 7 
youtube2007,8,dense,11,3.4202,6 2 4 7 0 3 5 1 
youtube2007,8,dense,12,2.7538,1 0 7 6 4 5 3 2 ,13.3938,0.1065,0.1214,0.0001,0.1711,2333180,695208
youtube2007,8,dense,13,2.6139,7 6 2 0 3 4 1 5 
youtube2007,8,dense,14,2.7099,5 4 6 7 0 3 2 1 ,13.2901,0.2449,0.1531,0.0001,14.8822,934645386,30034109
youtube2007,8,dense,15,2.6009,6 0 5 1 7 2 3 4 
youtube2007,8,dense,16,2.4831,2 4 5 7 3 6 0 1 
youtube2007,8,dense,17,2.6045,0 5 1 6 4 2 3 7 
youtube2007,8,dense,18,2.6773,0 5 3 7 4 2 1 6 ,12.2558,0.2461,0.1338,0.0001,0.3987,1651374,5879582
youtube2007,8,dense,19,2.7285,6 7 2 5 4 3 1 0 ,12.8955,0.2400,0.1197,0.0000,0.0849,4889872,419151
youtube2007,8,dense,20,2.3691,0 4 5 7 2 3 6 1 ,11.8742,2.4373,1.0660,0.0049,463.8105,4443371876,774669194
youtube2007,8,dense,21,3.4280,7 3 2 6 0 4 1 5 ,15.5167,0.3740,0.1624,0.0002,0.9043,14471590,1459271
youtube2007,8,dense,22,2.7201,1 7 2 5 4 6 0 3 
youtube2007,8,dense,23,2.7579,1 3 4 0 6 7 5 2 ,13.3769,0.4236,0.1961,0.0002,1.0155,11589738,4674156
youtube2007,8,dense,24,2.7184,1 3 5 6 7 4 0 2 ,13.2389,0.7205,0.3412,0.0021,820.2525,19172769238,1994467726
youtube2007,8,dense,25,2.6106,6 1 4 5 3 7 0 2 
youtube2007,8,dense,26,2.6959,2 4 7 3 0 6 1 5 ,12.9237,0.2094,0.1258,0.0000,0.0311,162032,217502
youtube2007,8,dense,27,2.6980,1 7 6 5 2 4 3 0 ,12.9139,0.4050,0.1540,0.0001,0.0535,565319,632876
youtube2007,8,dense,28,2.6928,1 4 6 7 3 2 5 0 ,12.9264,0.1169,0.1170,0.0000,0.0094,418496,55122
youtube2007,8,dense,29,2.6048,1 4 3 7 2 6 0 5 ,12.8399,0.9809,0.3612,0.0009,22.8982,91068504,99646579
youtube2007,8,dense,30,2.6141,3 0 1 4 6 5 2 7 ,12.8827,0.7236,0.4010,0.0005,405.6438,28310969676,435410620
youtube2007,8,dense,31,3.1940,0 2 3 4 5 1 7 6 ,14.9079,0.7847,0.3169,0.0004,3.8327,73058160,11927275
youtube2007,8,dense,32,2.9108,5 4 1 6 2 0 3 7 ,13.4982,2.2852,0.7756,0.0021,46.9341,2936454778,98213027
youtube2007,8,dense,33,2.5922,5 0 4 6 1 3 7 2 
youtube2007,8,dense,34,2.5947,0 2 5 1 3 4 7 6 
youtube2007,8,dense,35,2.5939,4 2 5 3 6 0 7 1 ,12.7821,0.0760,0.1175,0.0000,0.0768,935485,742774
youtube2007,8,dense,36,2.5973,2 1 3 5 6 4 0 7 
youtube2007,8,dense,37,2.4398,4 2 5 6 3 7 1 0 
youtube2007,8,dense,38,2.4783,5 0 4 2 6 1 3 7 
youtube2007,8,dense,39,2.5958,1 7 3 2 5 4 0 6 ,11.9719,0.0411,0.1012,0.0000,0.0061,114182,43653
youtube2007,8,dense,40,2.3925,7 6 0 3 1 4 2 5 ,11.6068,0.7937,0.2897,0.0007,16.1008,319003190,94957008
youtube2007,8,dense,41,2.8742,5 6 3 2 7 1 4 0 ,13.8463,1.0572,0.4512,0.0009,51.2191,1127083906,140951478
youtube2007,8,dense,42,2.6283,6 4 5 7 3 1 2 0 ,12.9852,0.6252,0.2947,0.0008,23.1682,1779017600,26308111
youtube2007,8,dense,43,2.7044,2 3 5 6 4 0 1 7 
youtube2007,8,dense,44,2.7031,6 3 5 2 1 4 0 7 
youtube2007,8,dense,45,2.5968,3 0 1 2 4 5 6 7 ,12.8500,0.9936,0.5232,0.0003,589.7189,5458366038,2374158372
youtube2007,8,dense,46,2.6156,2 3 4 1 7 5 6 0 
youtube2007,8,dense,47,2.5312,6 1 2 3 7 0 4 5 ,12.2683,2.4872,0.9749,0.0020,729.4835,51819788358,1171205849
youtube2007,8,dense,48,2.7098,3 5 4 2 0 1 6 7 ,12.9929,0.0595,0.1082,0.0000,0.0022,11604,11871
youtube2007,8,dense,49,3.0004,7 2 3 5 6 0 1 4 
youtube2007,8,dense,50,2.4184,1 3 6 5 2 7 4 0 ,11.8701,0.0275,0.0989,0.0000,0.0047,56158,21776
youtube2007,8,dense,51,2.8644,3 4 6 1 0 7 2 5 ,13.8407,1.3805,0.4980,0.0011,129.0963,1673377853,714893919
youtube2007,8,dense,52,2.6285,1 0 7 2 4 6 3 5 ,12.8382,0.0657,0.1085,0.0000,0.0014,1759,3278
youtube2007,8,dense,53,2.6663,0 5 2 1 3 7 6 4 ,12.9211,0.1237,0.1104,0.0001,0.0055,43614,64800
youtube2007,8,dense,54,2.7018,5 0 7 2 3 6 4 1 ,13.0281,1.2949,0.4891,0.0006,41.9412,143999176,162797268
youtube2007,8,dense,55,2.6888,3 7 6 0 4 1 2 5 
youtube2007,8,dense,56,2.7071,6 3 1 4 7 2 5 0 ,12.9594,0.1380,0.1189,0.0000,0.0033,28559,25321
youtube2007,8,dense,57,2.7075,7 4 1 2 0 3 5 6 
youtube2007,8,dense,58,2.8360,7 2 0 5 1 6 3 4 
youtube2007,8,dense,59,2.4373,5 4 6 2 0 1 3 7 
youtube2007,8,dense,60,2.4245,2 0 7 3 1 4 6 5 ,11.8574,0.1654,0.1086,0.0001,0.3970,10294944,3417142
