dataset,query_size,query_mode,query_index,elapsed_execution_time,filter_time,plan_time,enumerate_time,n_embeddings,order,max_task_time
human,8,dense,1,24.1745,0.00145375,0.00188447,24.1743,16418241276,0 1 6 2 3 7 4 5 ,24.1743
human,8,dense,2,
human,8,dense,3,1.80115,0.00215752,0.00109986,1.801,37840240800,2 0 1 3 5 7 4 6 ,1.801
human,8,dense,4,7.39002,0.00131451,0.0012348,7.3899,1100923920,1 0 2 3 4 5 7 6 ,7.3899
human,8,dense,5,
human,8,dense,6,0.0967674,0.000842232,0.00122725,0.0966391,15850800,7 2 1 0 3 4 5 6 ,0.0966391
human,8,dense,7,0.00157675,0.0011187,0.000868219,0.00152606,411188400,2 5 6 4 0 1 3 7 ,0.00152606
human,8,dense,8,
human,8,dense,9,
human,8,dense,10,
human,8,dense,11,
human,8,dense,12,220.781,0.00089817,0.00110421,220.781,49557699072,2 0 1 4 5 6 3 7 ,220.781
human,8,dense,13,
human,8,dense,14,123.688,0.00178812,0.00145032,123.688,22788041028,mixed,97.3886
human,8,dense,15,241.728,0.00102588,0.000873422,241.727,3714173640,4 6 0 2 7 1 3 5 ,241.727
human,8,dense,16,0.000808187,0.00147897,0.000569376,0.000753241,12960,5 2 7 1 0 3 4 6 ,0.000753241
human,8,dense,17,
human,8,dense,18,
human,8,dense,19,
human,8,dense,20,
human,8,dense,21,221.792,0.00106642,0.00106084,221.791,49557699072,2 0 1 4 5 6 3 7 ,221.791
human,8,dense,22,
human,8,dense,23,6.0277,0.0010221,0.0011776,6.02762,1972656000,3 5 7 0 4 6 1 2 ,6.02762
human,8,dense,24,
human,8,dense,25,
human,8,dense,26,52.291,0.00177558,0.00259492,52.2908,44294373948,mixed,52.2762
human,8,dense,27,34.7611,0.00172767,0.00198619,34.7609,6631496976,1 0 5 3 4 2 6 7 ,34.7609
human,8,dense,28,786.334,0.00328869,0.000970232,786.333,169631393760,0 1 2 3 4 5 6 7 ,786.333
human,8,dense,29,37.4647,0.00142297,0.00275275,37.4646,2643175850040,mixed,37.4627
human,8,dense,30,
human,8,dense,31,
human,8,dense,32,
human,8,dense,33,
human,8,dense,34,326.718,0.00160429,0.00170502,326.717,14456657376,1 0 7 2 3 4 5 6 ,326.717
human,8,dense,35,
human,8,dense,36,
human,8,dense,37,0.221324,0.00127926,0.00153963,0.221257,22615639200,6 4 5 3 0 1 2 7 ,0.221257
human,8,dense,38,
human,8,dense,39,1.96309,0.00108958,0.000844298,1.96297,3489423876,3 1 6 7 4 5 0 2 ,1.96297
