dataset,query_size,query_mode,query_index,elapsed_execution_time,filter_time,plan_time,enumerate_time,n_embeddings,order,max_task_time,n_intersections
human,8,dense,25,56.9802,0.00171772,0.00810738,1100.58,9774626322883,3 2 0 1 4 5 6 7 ,45.1213,138827519.0
human,8,dense,17,9.90686,0.00198679,0.00955103,200.054,324152494091,2 4 1 5 0 3 7 6 ,6.0839,63174153.0
human,8,sparse,90,1.61445,0.000768536,0.00534828,12.8138,59364565344,6 7 1 4 0 5 2 3 ,1.50933,3163660.0
human,8,dense,35,25.2529,0.00264077,0.0048957,668.831,31792371302,1 0 3 2 5 6 7 4 ,12.5022,5470792.0
human,8,sparse,67,0.0129412,0.00116697,0.00186205,0.0128249,2463834624,3 5 2 0 1 6 4 7 ,0.0128249,3224.0
human,8,sparse,81,
human,8,dense,80,856.187,0.00106691,0.00943888,24486.8,2360005314518,1 3 4 5 6 7 0 2 ,466.75,4364025047.0
human,8,sparse,31,
human,16,dense,9,0.00328921,0.00137428,0.0116235,0.00321451,138,2 7 8 9 0 1 3 4 5 6 11 12 10 14 13 15 ,0.00321451,4717.0
human,8,dense,4,0.469873,0.00099842,0.00245286,0.830082,91743660,1 0 2 3 4 5 7 6 ,0.212132,424397.0
human,12,dense,56,0.0689998,0.00103417,0.00351625,0.11691,7514100,3 11 10 7 9 6 2 4 5 8 1 0 ,0.0688832,50706.0
human,8,sparse,35,291.335,0.00189972,0.0166112,7728.42,499237532813,1 0 2 6 4 3 7 5 ,142.007,10336684.0
human,8,dense,64,0.495273,0.0011504,0.0035968,9.1968,28447253841,0 4 3 5 6 2 1 7 ,0.292311,3501933.0
human,8,dense,83,51.4744,0.00115878,0.00486225,368.06,4399359599216,6 4 1 0 5 3 2 7 ,46.5112,127285411.0
human,12,sparse,33,0.173409,0.00129999,0.0051786,0.173251,229378464,0 7 4 6 8 9 2 3 5 10 1 11 ,0.173251,33473.0
human,8,sparse,82,1.80937,0.00115063,0.00973102,1.80913,778979802850,2 4 1 6 3 5 0 7 ,1.80913,803257.0
human,8,sparse,40,0.0154727,0.000954971,0.00210552,0.0152933,231666000,2 3 1 6 5 4 0 7 ,0.0152933,7564.0
