dataset,query_size,query_mode,query_index,elapsed_execution_time,filter_time,plan_time,enumerate_time,n_embeddings,order,max_task_time,n_intersections
human,12,dense,33,0.00670157,0.00114416,0.000454855,0.00657665,2908,0 7 10 1 2 3 4 5 6 8 9 11 ,0.00657665,20876.0
human,8,sparse,60,0.36701,0.000506993,0.000388604,0.366847,1333440,3 1 4 5 0 2 6 7 ,0.366847,840473.0
human,8,dense,52,
human,8,dense,37,396.003,0.000725159,0.000358486,396.003,1884636600,6 4 5 3 0 1 2 7 ,396.003,1007076459.0
human,8,dense,23,41.3397,0.000836632,0.000358061,41.3395,164388000,3 5 7 0 4 6 1 2 ,41.3395,68958000.0
human,8,dense,20,
human,8,dense,64,
human,16,dense,82,0.0281787,0.00123188,0.000593717,0.028053,174688,10 9 11 15 13 3 4 12 14 7 2 0 1 8 5 6 ,0.028053,56799.0
human,12,sparse,50,10.9042,0.0010772,0.000448545,10.9041,129595584,2 6 1 4 8 3 0 5 9 7 11 10 ,10.9041,15833412.0
human,16,sparse,85,
human,8,sparse,55,
human,8,dense,39,162.996,0.000765674,0.000383613,162.996,872355969,3 1 6 7 4 5 0 2 ,162.996,271904032.0
human,8,dense,46,80.7569,0.000936467,0.000504579,80.7567,241741500,6 5 7 1 0 2 3 4 ,80.7567,177836085.0
human,16,dense,53,323.124,0.00113031,0.000651449,323.124,4373559504,3 2 7 9 10 1 11 13 8 12 0 4 6 5 15 14 ,323.124,386389076.0
human,8,dense,88,0.131656,0.00066749,0.000343912,0.131541,505341,3 1 5 6 2 4 7 0 ,0.131541,388788.0
human,8,dense,33,
human,8,dense,22,
human,8,dense,81,
human,8,dense,59,
human,16,dense,85,74.6968,0.00109404,0.000600686,74.6966,925659000,2 4 5 0 1 3 6 13 8 7 9 11 12 14 15 10 ,74.6966,62144053.0
human,8,dense,70,
human,8,sparse,40,12.8242,0.00105426,0.000403052,12.824,231666000,2 3 1 6 5 4 0 7 ,12.824,8131262.0
human,8,sparse,3,
human,8,dense,51,411.161,0.00112266,0.000464149,411.161,7037852577,1 0 6 2 4 7 3 5 ,411.161,233177172.0
human,8,dense,82,1142.83,0.000935954,0.000708208,1142.83,6071234974,2 4 0 1 3 6 7 5 ,1142.83,748254273.0
human,12,sparse,56,581.683,0.00111775,0.000384247,581.683,9179127540,7 6 2 8 5 4 3 11 1 10 9 0 ,581.683,463903802.0
human,12,sparse,24,43.9523,0.0010938,0.000489966,43.9521,159160976,7 8 6 5 4 2 1 0 3 11 10 9 ,43.9521,121688051.0
human,16,sparse,82,0.622574,0.00121401,0.000483461,0.622439,5444928,10 3 4 11 12 7 13 2 8 0 5 14 15 6 9 1 ,0.622439,1109170.0
human,8,dense,54,527.745,0.00107225,0.000367579,527.745,10730691346,1 5 2 3 6 0 4 7 ,527.745,112516409.0
human,8,dense,5,
human,12,dense,6,859.133,0.00105675,0.00047747,859.133,8365405440,2 0 1 5 10 3 4 6 7 8 9 11 ,859.133,818636611.0
human,12,sparse,22,110.37,0.000984882,0.000364763,110.369,1574769660,3 0 6 1 2 5 7 8 9 11 10 4 ,110.369,94194907.0
human,12,dense,63,0.1303,0.00101799,0.000430104,0.130163,158752,0 7 6 1 2 3 4 5 8 9 10 11 ,0.130163,395210.0
human,16,dense,9,0.00422901,0.00128667,0.000637752,0.00415184,138,2 7 8 9 0 1 3 4 5 6 11 12 10 14 13 15 ,0.00415184,6271.0
human,8,dense,44,51.1563,0.00108161,0.000566332,51.1561,744152203,5 0 1 2 3 4 6 7 ,51.1561,38189033.0
human,8,sparse,88,0.677523,0.000703841,0.000310056,0.67731,7167186,3 6 5 1 7 2 4 0 ,0.67731,942874.0
human,8,sparse,6,15.8365,0.000807733,0.000395156,15.8364,242424000,5 6 7 1 3 0 2 4 ,15.8364,14738211.0
human,8,sparse,39,242.802,0.000763151,0.000362667,242.801,3597596128,3 1 0 5 4 2 7 6 ,242.801,218929045.0
human,8,dense,62,
human,8,dense,14,259.296,0.000872968,0.000453908,259.296,1899003419,4 6 3 0 1 2 5 7 ,259.296,297020486.0
human,12,sparse,70,512.786,0.00120258,0.000577018,13282,53153278080,0 4 3 6 10 2 11 5 1 9 8 7 ,71.7727,2504128068.0
human,12,sparse,41,177.108,0.000936494,0.000630857,177.107,590923198,3 7 8 4 2 6 5 1 0 9 10 11 ,177.107,377597418.0
human,8,sparse,46,1602.63,0.00107089,0.000401005,1602.63,23207184000,3 5 1 7 2 0 6 4 ,1602.63,1197250327.0
human,8,dense,63,22.2033,0.000719872,0.000528756,22.2031,40779579,1 4 6 0 2 3 5 7 ,22.2031,63123990.0
human,12,dense,1,0.455869,0.00134233,0.000559917,0.455748,4151727,1 0 4 3 8 6 7 5 2 9 10 11 ,0.455748,702994.0
human,8,dense,76,238.648,0.000629606,0.000471712,238.648,344150688,2 0 1 4 5 6 3 7 ,238.648,1406089311.0
human,8,dense,75,15.8164,0.000726265,0.000354447,15.8162,90565683,2 0 1 3 4 5 6 7 ,15.8162,33934773.0
human,12,dense,21,228.072,0.00113782,0.000422818,228.072,4081128786,2 5 1 3 9 8 0 4 7 11 6 10 ,228.072,97901247.0
human,8,dense,95,0.357263,0.00109403,0.00065717,0.357109,2071842,5 4 1 0 6 7 2 3 ,0.357109,241235.0
human,12,dense,35,243.501,0.00115603,0.000693596,243.501,3428970834,5 2 3 0 8 4 1 9 6 7 10 11 ,243.501,206401310.0
human,8,dense,67,10.559,0.000884118,0.00038112,10.5588,55262400,3 4 5 1 2 0 6 7 ,10.5588,13413520.0
human,8,dense,34,96.5198,0.000753443,0.000432587,96.5197,301180362,1 0 7 2 3 4 5 6 ,96.5197,160166391.0
human,8,dense,27,45.7064,0.000903553,0.000535113,45.7062,552624748,1 0 5 3 4 2 6 7 ,45.7062,55643879.0
human,8,dense,8,
human,12,sparse,31,0.260268,0.00100406,0.000393587,0.260147,1751877,5 4 10 11 2 0 3 6 1 8 7 9 ,0.260147,662339.0
human,8,dense,31,
human,8,dense,85,
human,16,dense,6,0.140396,0.00150806,0.000807135,0.140236,292320,11 5 6 7 8 9 10 4 3 2 1 13 0 14 15 12 ,0.140236,408217.0
human,8,dense,93,157.045,0.000981331,0.000394708,157.045,1142121672,3 4 5 6 0 1 2 7 ,157.045,79081024.0
human,8,sparse,67,126.159,0.000728859,0.000297373,126.159,2463834624,3 5 2 0 1 6 4 7 ,126.159,45013012.0
human,12,dense,31,0.0287582,0.00094199,0.000434597,0.0286408,99468,2 5 3 6 0 4 10 11 1 8 7 9 ,0.0286408,66196.0
human,8,dense,72,0.00504345,0.000916234,0.000381416,0.00493152,28160,4 2 3 6 5 7 1 0 ,0.00493152,11620.0
human,8,dense,17,
human,8,dense,36,
human,8,dense,12,238.194,0.000694448,0.000437761,238.194,344150688,2 0 1 4 5 6 3 7 ,238.194,1406089311.0
human,8,dense,40,5.1674,0.000830795,0.000353452,5.16726,36326400,2 0 4 1 3 6 5 7 ,5.16726,1723850.0
human,8,dense,74,4.46327,0.000848966,0.00046724,4.46316,8221976,1 7 5 6 0 2 3 4 ,4.46316,8923315.0
human,8,dense,50,
human,8,sparse,0,389.285,0.00115423,0.000428516,389.285,5042060446,1 0 3 6 4 5 7 2 ,389.285,353934848.0
