dataset,query_size,query_mode,query_index,elapsed_execution_time,filter_time,plan_time,enumerate_time,n_embeddings,order,max_task_time,n_intersections
youtube2007,12,dense,48,1714.59,0.00224527,0.00185263,1714.59,157454094524,2 0 3 4 6 7 8 5 11 9 1 10 ,1714.59,1657505889.0
youtube2007,16,sparse,79,0.535367,1798.42,0.00405978,0.535284,30669696,6 7 9 3 12 8 11 10 15 13 14 5 2 0 4 1 ,0.535284,702592.0
youtube2007,8,sparse,33,0.798211,0.00255905,0.000816801,0.798023,84169176,3 4 2 5 6 7 0 1 ,0.798023,1116106.0
youtube2007,16,sparse,44,4.34676,0.00269037,0.00332164,4.34663,1373714,3 1 4 7 10 9 2 5 0 8 6 12 11 13 14 15 ,4.34663,5000325.0
youtube2007,8,dense,86,480.356,0.00489575,0.000888547,480.356,41742723954,1 3 5 6 2 4 7 0 ,480.356,363428085.0
human,8,dense,6,0.101314,0.000224312,0.00135752,0.10113,15850800,0 1 2 6 7 3 4 5 ,0.10113,2464.0
youtube2007,12,sparse,1,0.581997,0.00450692,0.00243127,0.581804,13714975,1 6 2 5 4 7 8 3 0 11 9 10 ,0.581804,1009372.0
youtube2007,8,dense,20,800.137,0.0049289,0.000843803,800.137,4443371876,2 3 4 5 6 0 7 1 ,800.137,663045979.0
youtube2007,8,dense,4,75.9543,0.00539177,0.0011786,75.9542,1810971876,4 1 2 6 5 7 0 3 ,75.9542,23396916.0
human,8,dense,23,1.1204,0.000308689,0.000979468,1.12026,1972656000,0 3 4 6 5 1 2 7 ,1.12026,1218984.0
youtube2007,12,dense,69,51.2332,0.00156754,0.00186545,51.2331,4159957634,10 0 7 8 9 6 5 3 11 2 4 1 ,51.2331,47837069.0
human,12,sparse,84,
human,8,sparse,7,0.00120948,0.000304576,0.000771104,0.00110228,460139400,5 2 6 4 1 3 7 0 ,0.00110228,561.0
youtube2007,12,sparse,18,1.55343,0.0013842,0.00189091,1.55326,4450907,4 5 8 9 3 7 10 6 1 0 11 2 ,1.55326,2280195.0
human,12,sparse,11,0.179312,0.000234949,0.00226843,0.179138,22259835000,7 3 11 5 6 10 9 2 0 4 8 1 ,0.179138,126408.0
human,8,sparse,52,71.6305,0.000583309,0.00110231,71.6304,1663708413966,3 6 4 5 2 0 1 7 ,71.6304,36989766.0
human,12,sparse,31,0.0181488,0.00061133,0.00230702,0.0179944,1751877,3 5 2 4 11 10 0 1 6 8 7 9 ,0.0179944,11791.0
youtube2007,12,dense,51,
youtube2007,8,sparse,6,3.57447,0.00503831,0.000824891,3.57437,202680341,2 1 5 6 3 4 7 0 ,3.57437,4652584.0
youtube2007,12,dense,72,3.65127,0.00320385,0.00166785,3.65112,2931261,1 7 5 10 2 8 9 0 6 4 11 3 ,3.65112,5986395.0
human,12,sparse,24,2.61077,0.000218096,0.00255046,2.6106,159160976,4 6 8 7 5 2 1 0 3 11 10 9 ,2.6106,7568656.0
human,8,dense,37,2.79569,0.000277067,0.00114538,2.79554,22615639200,0 1 2 3 4 6 5 7 ,2.79554,1256051.0
human,8,dense,69,0.00151249,0.000107663,0.000997079,0.00140848,1172200320,2 3 4 0 5 6 7 1 ,0.00140848,659.0
youtube2007,12,sparse,40,63.7463,0.00354721,0.0018796,63.7461,10542782150,1 9 4 2 5 7 3 10 8 6 0 11 ,63.7461,47994237.0
human,12,sparse,41,0.984695,0.000505239,0.00222255,0.984521,590923198,2 3 6 7 1 4 8 0 5 9 10 11 ,0.984521,518106.0
human,12,dense,21,0.00415818,0.000477312,0.0017928,0.00397767,8162257572,1 2 0 3 5 7 4 9 11 8 6 10 ,0.00397767,3188.0
youtube2007,16,sparse,41,13.6892,0.00533571,0.00309932,13.6891,12043334352,3 5 1 4 6 7 12 11 13 8 2 14 0 9 10 15 ,13.6891,15356763.0
human,12,sparse,33,0.178803,0.000106865,0.00193983,0.178624,229378464,0 6 2 7 4 3 8 9 5 10 11 1 ,0.178624,134378.0
youtube2007,12,sparse,85,0.974859,0.000552145,0.00217039,0.974727,817317851,0 3 4 2 1 5 7 6 8 10 11 9 ,0.974727,1089403.0
human,16,dense,53,21.2616,0.000721425,0.00495496,21.2614,52482714048,2 3 8 0 1 4 5 7 9 10 11 6 13 12 15 14 ,21.2614,18342336.0
human,8,sparse,59,18.1685,0.000312417,0.000875459,18.1683,1400719451782,4 1 6 7 2 3 0 5 ,18.1683,9520197.0
human,12,dense,81,
youtube2007,12,dense,24,364.797,0.000949275,0.00199589,364.797,65974348,4 5 10 6 7 8 2 3 11 1 9 0 ,364.797,338368183.0
human,12,sparse,4,0.659881,0.000397815,0.00198155,0.659724,353178285960,3 9 1 4 6 8 7 0 2 10 11 5 ,0.659724,726892.0
youtube2007,8,dense,84,31.9422,0.00243815,0.000815671,31.942,5765328428,3 4 0 2 5 1 6 7 ,31.942,23015461.0
human,8,sparse,9,13.0627,0.000361798,0.000843924,13.0626,931926099006,3 4 6 5 2 1 0 7 ,13.0626,6342612.0
youtube2007,12,sparse,25,105.356,0.00390478,0.00172132,105.355,132631142,2 3 7 4 10 1 5 6 8 0 11 9 ,105.355,138332496.0
youtube2007,8,dense,40,26.9247,0.0034003,0.000919042,26.9245,319003190,0 3 7 1 4 6 2 5 ,26.9245,20056232.0
human,8,sparse,93,0.305982,0.000366034,0.000801848,0.305869,15114669918,0 4 3 7 1 5 6 2 ,0.305869,167188.0
human,8,sparse,5,
youtube2007,16,dense,75,2.70907,0.00234038,0.00421613,2.7089,6220800,3 1 4 9 5 2 10 6 8 11 12 0 7 13 15 14 ,2.7089,4240543.0
human,8,dense,1,222.481,0.000381201,0.00134602,222.48,16418241276,0 1 2 3 4 5 6 7 ,222.48,155657546.0
youtube2007,8,dense,53,0.457548,0.00157605,0.000982353,0.457361,43614,0 5 3 2 1 4 7 6 ,0.457361,797690.0
human,16,dense,46,5.85996,0.000252637,0.00567182,5.85979,22339584,5 3 4 8 6 9 10 7 11 12 13 14 15 1 0 2 ,5.85979,6700400.0
youtube2007,8,dense,99,0.220025,0.00355126,0.00092991,0.219879,21995,0 4 7 1 5 2 6 3 ,0.219879,601482.0
youtube2007,8,sparse,40,27.6865,0.00333343,0.000946991,27.6863,113125525906,0 4 6 5 2 1 3 7 ,27.6863,21136362.0
human,12,dense,6,0.811413,0.000511861,0.00220055,0.81123,16730810880,2 1 4 0 3 7 8 5 9 10 6 11 ,0.81123,546566.0
youtube2007,8,sparse,67,203.05,0.00723358,0.000964333,203.05,4045457427,0 5 7 3 1 4 6 2 ,203.05,243583878.0
human,12,sparse,63,1.04596,0.000523632,0.0016097,1.04585,48278168,1 5 0 8 9 4 2 10 7 3 6 11 ,1.04585,1883498.0
youtube2007,12,dense,56,321.987,0.000792573,0.00198845,321.987,12229096514976,2 3 4 5 6 0 9 10 7 1 8 11 ,321.987,356253222.0
youtube2007,12,sparse,3,11.7506,0.00216649,0.00169961,11.7504,2470739053,3 0 4 7 8 6 2 9 5 1 11 10 ,11.7504,9907954.0
youtube2007,8,dense,14,9.17768,0.00335387,0.000822542,9.1775,934645386,4 5 7 0 3 2 6 1 ,9.1775,6632890.0
youtube2007,8,dense,90,0.387111,0.00246512,0.000926505,0.386955,7396,3 0 1 5 2 4 6 7 ,0.386955,611257.0
human,8,sparse,87,0.108709,9.2986e-05,0.00108858,0.108585,99590185344,1 3 2 7 0 5 6 4 ,0.108585,28751.0
youtube2007,8,sparse,10,0.0925904,0.00159047,0.00087795,0.0925054,38499,0 2 3 5 4 6 1 7 ,0.0925054,212125.0
youtube2007,12,sparse,72,356.817,0.00347425,0.00173691,356.817,94862458453,0 2 8 4 5 1 3 9 6 10 7 11 ,356.817,160304269.0
human,8,dense,34,
youtube2007,8,sparse,75,11.1065,0.00251685,0.00101088,11.1064,128661084,1 3 7 4 2 5 0 6 ,11.1064,10546996.0
human,12,sparse,73,524.249,0.000171657,0.00203198,524.249,16176649278424320,2 4 8 3 9 5 7 11 0 1 6 10 ,524.249,129359823.0
youtube2007,16,sparse,27,2.15159,0.00204636,0.00378318,2.15141,11816198,11 10 0 5 7 3 12 6 8 15 9 4 1 14 13 2 ,2.15141,2602255.0
youtube2007,8,sparse,53,76.7587,0.00716029,0.00104466,76.7585,374533618,2 3 4 5 6 1 7 0 ,76.7585,93998425.0
youtube2007,12,dense,68,17.9606,0.00305404,0.00177486,17.9604,52335527,1 11 2 10 7 6 4 5 3 8 9 0 ,17.9604,31257651.0
human,8,sparse,73,1.51573,0.000117389,0.000777809,1.5156,24356919012,2 6 5 1 3 4 0 7 ,1.5156,1307058.0
youtube2007,8,sparse,74,11.5838,0.00222988,0.000884006,11.5836,434568060,1 3 4 6 0 5 2 7 ,11.5836,10983821.0
youtube2007,8,sparse,70,73.9095,0.00152913,0.000833811,73.9093,13082101753,1 4 6 0 2 5 3 7 ,73.9093,48785717.0
human,12,dense,51,
human,12,dense,88,
youtube2007,8,dense,5,0.98314,0.00643812,0.000816492,0.98295,37928,2 3 5 6 7 4 0 1 ,0.98295,1365883.0
human,8,sparse,45,0.00721805,7.0914e-05,0.000931903,0.00716036,471600,1 5 0 4 3 2 7 6 ,0.00716036,3012.0
youtube2007,16,dense,8,134.235,0.00168478,0.00421615,134.234,793405166,0 3 11 1 2 5 6 7 9 4 8 12 15 14 13 10 ,134.234,212953568.0
youtube2007,16,sparse,10,182.34,0.000544712,0.00432805,182.34,21737079360,11 6 5 7 9 10 4 13 0 1 2 14 12 8 3 15 ,182.34,132364794.0
human,12,dense,69,155.37,0.0008826,0.00208803,155.37,8590166980416,0 2 1 4 8 9 10 11 3 5 6 7 ,155.37,49112562.0
human,8,dense,51,0.649722,0.000236352,0.000833973,0.649603,7037852577,1 2 3 6 4 7 0 5 ,0.649603,239165.0
youtube2007,8,dense,54,43.7658,0.00329672,0.000974378,43.7656,143999176,0 5 2 4 6 1 3 7 ,43.7656,55781617.0
youtube2007,8,dense,95,42.4172,0.00205369,0.000849821,42.417,16257357230,0 2 3 4 5 6 7 1 ,42.417,25241159.0
human,16,sparse,9,1.41172,0.000276042,0.00316123,1.41154,2843873280,2 3 9 10 4 0 11 13 12 1 8 7 5 6 14 15 ,1.41154,699437.0
human,8,dense,61,0.00255457,0.000167795,0.000759141,0.002493,133640,1 3 2 0 5 6 7 4 ,0.002493,2082.0
human,8,dense,67,0.0256,0.000116887,0.000970527,0.0255003,1326297600,1 2 3 4 5 0 6 7 ,0.0255003,10243.0
human,8,sparse,49,0.188132,0.000352032,0.000832848,0.188068,1096452672,0 2 6 7 1 5 4 3 ,0.188068,97245.0
