dataset,query_size,query_mode,query_index,elapsed_execution_time,filter_time,plan_time,enumerate_time,n_embeddings,order,max_task_time,n_intersections
friendster,16,sparse,99,0.101158,1.95445,42.4627,1.28995,35560437286,11 6 3 10 4 2 8 14 1 5 9 12 13 7 15 0 ,0.0251807,196349.0
friendster,16,dense,12,0.0840922,2.34677,56.3019,1.12585,2286208,9 4 3 1 5 10 14 7 13 6 0 12 15 2 8 11 ,0.0203072,135130.0
friendster,16,dense,88,0.444824,2.10966,33.0039,2.93075,867673500298,3 0 2 1 5 4 6 12 14 8 7 15 13 10 11 9 ,0.372672,579702.0
friendster,16,dense,63,0.0890806,2.10999,35.0804,1.13812,418734608982,7 1 3 8 4 6 9 0 5 2 10 11 12 13 14 15 ,0.0247977,155607.0
friendster,16,dense,74,9.2971,2.07643,110.721,11.7542,157193821225820,5 1 8 4 12 13 11 3 7 2 9 15 6 10 14 0 ,9.2259,5770444.0
friendster,16,sparse,37,0.113659,1.99329,59.9037,1.50843,340456021559,0 11 5 8 10 9 12 4 2 7 1 14 15 3 6 13 ,0.052666,238849.0
friendster,16,dense,42,0.0755387,2.5592,52.4543,1.1773,796,12 11 9 5 15 3 0 1 13 10 7 14 4 8 2 6 ,0.0268518,135558.0
friendster,16,sparse,84,0.113863,2.02095,28.7071,1.33816,9299528232168,11 9 10 5 1 4 3 13 6 0 8 15 14 12 2 7 ,0.0461147,210985.0
friendster,16,sparse,2,0.138936,2.05535,86.3701,2.0982,69851135891,10 5 14 6 4 13 8 1 11 3 0 9 12 15 2 7 ,0.0695814,318189.0
friendster,16,sparse,38,0.134892,2.19613,112.508,1.95371,37508969,3 0 5 2 4 1 10 14 13 9 8 12 6 7 11 15 ,0.0914732,369551.0
friendster,16,dense,36,0.099603,2.18436,44.4566,1.28229,107394448,8 0 2 4 3 10 7 1 6 12 11 9 13 15 14 5 ,0.0446208,177286.0
friendster,16,sparse,35,0.111511,2.06312,46.293,1.41169,122030383486,5 0 8 13 12 6 15 11 7 4 14 10 3 2 9 1 ,0.0271259,204200.0
friendster,16,dense,71,0.115153,2.08992,40.0328,1.26015,298298159354,9 10 7 8 11 12 4 15 2 3 6 0 14 5 1 13 ,0.0450284,191886.0
friendster,16,sparse,65,0.104975,2.12317,33.6827,1.19942,184265172,6 4 8 1 11 0 5 10 3 9 7 13 2 15 12 14 ,0.0428047,170626.0
friendster,16,dense,75,0.0872218,2.21689,35.6577,0.909915,420,2 8 10 9 14 11 5 1 7 13 12 6 0 15 4 3 ,0.0520609,139816.0
friendster,16,sparse,60,0.151262,2.06241,37.3615,2.79991,578179982,10 11 13 0 3 4 2 6 7 8 12 9 5 15 14 1 ,0.071844,622455.0
friendster,16,sparse,93,0.0953585,2.18835,33.3008,1.14287,6956646,4 9 12 1 14 11 10 0 7 2 6 8 3 13 5 15 ,0.0303139,185240.0
friendster,16,dense,34,0.0950278,2.26199,65.2631,1.12084,624,2 9 4 5 8 14 11 6 3 7 1 12 10 0 15 13 ,0.0363682,134568.0
friendster,16,dense,9,0.225874,2.24956,60.7526,1.74456,1761003452,3 12 6 11 5 10 13 4 2 7 8 1 15 14 0 9 ,0.164985,268341.0
friendster,16,dense,83,0.126678,2.12745,49.3474,1.24324,311821296,7 12 15 13 8 4 6 0 2 11 10 14 3 1 9 5 ,0.0848829,235758.0
