dataset,query_size,query_mode,query_index,elapsed_execution_time,filter_time,plan_time,enumerate_time,n_embeddings,order,max_task_time,n_intersections
friendster,16,dense,80,0.265232,2.21561,68.0843,1.36178,6221602569,9 2 3 12 10 7 0 6 5 14 4 11 1 13 8 15 ,0.225074,399012.0
friendster,16,dense,60,0.137401,2.0273,42.4185,1.18415,186598324771,4 3 6 7 11 10 9 2 14 1 5 15 0 12 8 13 ,0.0837077,224885.0
friendster,16,sparse,4,0.10097,2.04769,42.5469,1.00633,1839931183450,1 0 3 7 4 8 5 9 12 6 10 13 2 11 15 14 ,0.0172823,196517.0
friendster,16,sparse,27,0.108683,1.93589,20.8135,1.0719,118028694357166,8 10 5 9 6 2 3 4 0 7 1 14 13 11 12 15 ,0.0352479,215726.0
friendster,16,dense,98,0.22357,2.06905,32.9199,1.13171,21389370705,3 10 11 15 13 12 6 9 0 1 7 8 5 4 2 14 ,0.165457,319815.0
friendster,16,sparse,29,0.272426,2.04705,63.5704,2.07586,256123438849,9 11 12 10 13 14 3 0 4 2 6 1 5 8 7 15 ,0.192058,526471.0
friendster,16,sparse,33,0.155168,1.93063,80.8905,1.62181,12519394379898,4 5 9 7 14 6 12 2 0 15 8 11 3 10 13 1 ,0.0732849,381423.0
friendster,16,dense,10,0.0757711,2.27859,50.424,0.859392,2,6 2 11 3 13 9 14 10 12 0 1 7 15 4 5 8 ,0.0207393,136382.0
friendster,16,dense,7,0.078628,2.18122,66.2886,0.900844,20442164,8 10 9 12 13 15 14 11 3 7 1 4 6 0 2 5 ,0.0188725,159747.0
friendster,16,dense,52,0.0743651,2.38328,26.3174,0.805157,25212,0 14 6 13 12 15 7 2 8 9 10 4 1 3 11 5 ,0.0300222,142752.0
friendster,16,dense,61,0.0697053,2.42048,55.1353,0.813437,37800,0 8 7 14 12 15 10 13 1 6 9 4 11 3 5 2 ,0.0136366,144010.0
